,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
0,125.13095186254921,-1276.9294821822964,278.40538966894985,476.13502795163936,-1.4118146474034956,835.6396637763889,235.35165757510853,500.6620386883577,452.1416968430894,3146.9891208097974
1,327.8809518625492,-1139.9294821822964,291.65538966894985,1669.4319029516394,38.213185352596504,-2448.360336223611,1550.8516575751084,6436.662038688358,1192.8916968430894,-2373.0108791902026
2,-1172.6980954763894,3442.123987203144,-998.7508540361681,-6494.365922219956,126.9382464434225,12037.978236605742,-7808.638613284793,-34545.147844539104,627.6769430701646,23652.941957376595
3,-245.50279670393627,864.5331078131157,-187.14273144514354,-1259.7616828129726,-170.44116616367637,2821.9438522424875,-3205.5996018462015,-7139.411474939489,-2354.9170830940534,3416.7399846672524
4,-1313.6077934149455,4878.428456345854,-1152.5751106947857,-7011.23478100594,116.32907364541171,13952.267716978677,-9725.531996372298,-38560.000855794184,-580.5567594407486,23690.410692194015
5,-788.6150417128526,2910.538569714402,-749.763369839859,-4711.5099034335835,333.1505677736657,8474.71175800537,-5801.863366214104,-26728.5656516435,2770.319882982759,18959.321319360024
6,-201.40245696885975,916.5196498410223,-158.97794576079187,-692.6555295098245,-3.0569209094404837,1861.6971531647896,379.3510630320417,-5732.582601445577,837.080764317596,2435.878699798713
7,489.74046552928365,-1227.3689611973068,303.286721281213,2098.9816114376135,239.2920806711054,-4382.000081938505,2238.2932473627025,9819.536375599899,3152.3138671674947,-5682.292312997011
8,156.98803865367591,-92.24277593859952,-97.36521631149272,-667.6669087264764,506.84377195004487,-91.09860403143509,-1695.7745309359416,-4773.426200154597,4235.583386309679,5025.884743796014
9,-818.2298531694399,3417.630898982636,-700.6613054531156,-3705.822021277909,-127.17203815174736,9249.900446766216,-6837.359195918833,-20793.597713508232,-2004.9605559789,12103.074995660005
10,47.69496924430787,-333.7215530134254,28.88558294563373,-191.78005728471192,86.3485425479482,-867.4463548253439,375.94318312196236,1224.0982580223845,446.9324526555772,6.35628183964203
11,686.8133061118443,-1781.1227967212894,541.7629361705535,3834.245816404425,-7.098424368731769,-6833.550560310117,5024.568963808931,19663.769819227844,957.4769571667183,-11878.748280696755
12,152.8809518625492,-686.9294821822964,107.78038966894987,606.0725279516394,36.838185352596504,-1452.360336223611,1047.3516575751084,2480.662038688358,347.2666968430894,-1701.0108791902026
13,-1080.0786338810929,3331.9262145742814,-907.9116928209341,-5578.08697607328,-66.97250294861954,10897.772203896548,-7422.33321377107,-28184.723751872483,-1573.4922415132844,17843.6638987908
14,-268.71234556993835,646.7538604171576,-249.5558769982245,-1577.1569172879395,301.5274043873845,2091.317205916286,-1566.805015713038,-8837.010099014213,2719.8603281797755,7857.304313729816
15,-153.44911521312443,613.6439317916929,-206.39898630363408,-623.6195576453224,80.20764100840742,1009.0972446294538,-1082.24916237193,-3847.853031393904,893.74515191268,2520.2038752454455
16,-645.4547381242207,2034.570942790145,-417.9981137606053,-2981.1305980247826,-129.29230857805683,5564.002888173653,-688.641866464917,-12124.663597650966,-1316.7270866619167,6751.25119902981
17,295.600894553816,-837.4642395790918,128.628570928514,1404.591550517137,90.06374464718164,-1795.8642626198464,-1573.89060818451,4856.288206350663,-81.99282359834316,-2682.584499136203
18,621.3124665443366,-2122.4564135650917,607.8593894791221,4281.15831217922,-35.02299489955652,-6295.411011138681,3570.3462724733668,21006.650207495088,-33.394833462314324,-13511.065816978418
19,218.0059518625492,-1435.9294821822964,285.40538966894985,1095.2444029516394,-22.786814647403496,-1358.360336223611,1244.6016575751084,3740.662038688358,847.1416968430893,-429.01087919020244
