,Thema
gemScore_BKB_perPand_AHN5,Factor4
SHDTot_percLand_AHN3,Factor4
SHDTot_percLand_AHN4,Factor4
SHDTot_percLand_AHN5,Factor4
SHDTot_Op_percOp_AHN3,Factor4
SHDTot_Op_percOp_AHN4,Factor4
SHDTot_Op_percOp_AHN5,Factor4
SHDTot_NO_percNO_AHN3,Factor2
SHDTot_NO_percNO_AHN4,Factor2
SHDTot_NO_percNO_AHN5,Factor2
SHDGrijs_percLand_AHN3,Factor2
SHDGrijs_percLand_AHN4,Factor2
SHDGrijs_percLand_AHN5,Factor2
SHDGrijs_Op_percOp_AHN3,Factor2
SHDGrijs_Op_percOp_AHN4,Factor2
SHDGrijs_Op_percOp_AHN5,Factor2
SHDGrijs_NO_percNO_AHN3,Factor2
SHDGrijs_NO_percNO_AHN4,Factor2
SHDGrijs_NO_percNO_AHN5,Factor2
SHDGroen_percLand_AHN3,Factor4
SHDGroen_percLand_AHN4,Factor4
SHDGroen_percLand_AHN5,Factor4
SHDGroen_Op_percOp_AHN3,Factor4
SHDGroen_Op_percOp_AHN4,Factor4
SHDGroen_Op_percOp_AHN5,Factor4
SHDGroen_NO_percNO_AHN3,Factor4
SHDGroen_NO_percNO_AHN4,Factor4
SHDGroen_NO_percNO_AHN5,Factor4
SHDTot_LVR_percLVR_AHN3,Factor5
SHDTot_LVR_percLVR_AHN4,Factor5
SHDTot_LVR_percLVR_AHN5,Factor5
SHDGrijs_LVR_percLVR_AHN3,Factor5
SHDGrijs_LVR_percLVR_AHN4,Factor5
SHDGrijs_LVR_percLVR_AHN5,Factor5
SHDGroen_LVR_percLVR_AHN3,Factor5
SHDGroen_LVR_percLVR_AHN4,Factor5
SHDGroen_LVR_percLVR_AHN5,Factor5
Aantal_Panden_BK,Factor1
BKBgraad_Tot_percLand_AHN3_BK,Factor1
BKBgraad_Tot_percLand_AHN4_BK,Factor1
BKBgraad_Tot_percLand_AHN5_BK,Factor1
BKBgraad_Op_percOp_AHN3_BK,Factor1
BKBgraad_Op_percOp_AHN4_BK,Factor1
BKBgraad_Op_percOp_AHN5_BK,Factor1
BKBgraad_NO_percNO_AHN3_BK,Factor1
BKBgraad_NO_percNO_AHN4_BK,Factor1
BKBgraad_NO_percNO_AHN5_BK,Factor1
percPanden_30Regel_AHN3_BK,Factor1
percPanden_30Regel_AHN4_BK,Factor1
percPanden_30Regel_AHN5_BK,Factor1
percPanden_tusen10en30Regel_AHN3_BK,Factor4
percPanden_tusen10en30Regel_AHN4_BK,Factor4
percPanden_tusen10en30Regel_AHN5_BK,Factor4
gemScore_BKB_perPand_AHN3_BK,Factor1
gemScore_BKB_perPand_AHN4_BK,Factor1
gemScore_BKB_perPand_AHN5_BK,Factor1
SHDTot_percLand_AHN3_BK,Factor1
SHDTot_percLand_AHN4_BK,Factor1
SHDTot_percLand_AHN5_BK,Factor1
SHDTot_Op_percOp_AHN3_BK,Factor1
SHDTot_Op_percOp_AHN4_BK,Factor1
