,Thema
BKBgraad_NO_percNO_AHN4_BK,
BKBgraad_NO_percNO_AHN5_BK,
percPanden_30Regel_AHN3_BK,
percPanden_30Regel_AHN4_BK,
percPanden_30Regel_AHN5_BK,
percPanden_tusen10en30Regel_AHN3_BK,
percPanden_tusen10en30Regel_AHN4_BK,
percPanden_tusen10en30Regel_AHN5_BK,
gemScore_BKB_perPand_AHN3_BK,
gemScore_BKB_perPand_AHN4_BK,
gemScore_BKB_perPand_AHN5_BK,
SHDTot_percLand_AHN3_BK,
SHDTot_percLand_AHN4_BK,
SHDTot_percLand_AHN5_BK,
SHDTot_Op_percOp_AHN3_BK,
SHDTot_Op_percOp_AHN4_BK,
SHDTot_Op_percOp_AHN5_BK,
SHDTot_NO_percNO_AHN3_BK,
SHDTot_NO_percNO_AHN4_BK,
SHDTot_NO_percNO_AHN5_BK,
SHDGrijs_percLand_AHN3_BK,
SHDGrijs_percLand_AHN4_BK,
SHDGrijs_percLand_AHN5_BK,
SHDGrijs_Op_percOp_AHN3_BK,
SHDGrijs_Op_percOp_AHN4_BK,
SHDGrijs_Op_percOp_AHN5_BK,
SHDGrijs_NO_percNO_AHN3_BK,
SHDGrijs_NO_percNO_AHN4_BK,
SHDGrijs_NO_percNO_AHN5_BK,
SHDGroen_percLand_AHN3_BK,
SHDGroen_percLand_AHN4_BK,
SHDGroen_percLand_AHN5_BK,
SHDGroen_Op_percOp_AHN3_BK,
SHDGroen_Op_percOp_AHN4_BK,
SHDGroen_Op_percOp_AHN5_BK,
SHDGroen_NO_percNO_AHN3_BK,
SHDGroen_NO_percNO_AHN4_BK,
SHDGroen_NO_percNO_AHN5_BK,
SHDTot_LVR_percLVR_AHN3_BK,
SHDTot_LVR_percLVR_AHN4_BK,
SHDTot_LVR_percLVR_AHN5_BK,
SHDGrijs_LVR_percLVR_AHN3_BK,
SHDGrijs_LVR_percLVR_AHN4_BK,
SHDGrijs_LVR_percLVR_AHN5_BK,
SHDGroen_LVR_percLVR_AHN3_BK,
SHDGroen_LVR_percLVR_AHN4_BK,
SHDGroen_LVR_percLVR_AHN5_BK,
PET29tm34pAHN4,
PET35tm40pAHN4,
