Indicator;Categorie;Attribuutnaam;Beschikbare AHNversies (naam achtervoegsel);Bebouwde kom beschikbaar (naam achtervoegsel);Omschrijving kort;Eenheid;Bron;Omschrijving lang
Maximale overstromingsdiepte;Effecten;P_200pluscm;;;Maximale overstromingsdiepte >200cm met een extreem kleine kans;Percentage;LIWO (2024);Deze statistieken toont welke waterdiepten kunnen voorkomen bij een overstroming met een extreem kleine kans (1:100.000 jaar). Per diepteklasse verschillen de gevolgen. Ook de mogelijke maatregelen voor gevolgbeperking verschillen per diepteklasse. Wil je meer informatie over deze statistieken? Ga dan naar het kaartverhaal.
Boomkroonoppervlakte;Gebiedskenmerken;BKBgraad_PercLand;AHN3,AHN4,AHN5;BK;Percentage Boomkroonoppervlakte;Percentage;Friedenau Society (2026);Deze statistieken laten zien wat het totale oppervlakte en percentage boomkroonoppervlakte is per buurt. Voor het bepalen van het boomkroonoppervlakte is gebruik gemaakt van het Actueel Hoogtebestand Nederland als broninformatie. Meer informatie over de gevolgde methode vind je in het kaartverhaal
Boomkroonoppervlakte openbaar;Gebiedskenmerken;BKBgraad_Openbaar_PercOpenbaar;AHN3,AHN4,AHN5;BK;Percentage Boomkroonoppervlakte openbaar;Percentage;Friedenau Society (2026);Deze statistieken laten zien wat het percentage boomkroonoppervlakte is binnen het openbare gebied.  Voor het bepalen van het boomkroonoppervlakte is gebruik gemaakt van het Actueel Hoogtebestand Nederland als broninformatie. Voor het bepalen van het openbare gebied is gebruik gemaakt van informatie uit basisregistraties. Meer informatie over de gevolgde methode vind je in het kaartverhaal
Boomkroonoppervlakte niet-openbaar ;Gebiedskenmerken;BKBgraad_NietOpenbaar_PercNO;AHN3,AHN4,AHN5;BK;Percentage Boomkroonoppervlakte niet-openbaar ;Percentage;Friedenau Society (2026);Deze statistieken laten zien wat het percentage boomkroonoppervlakte is binnen het niet-openbare gebied.  Voor het bepalen van het boomkroonoppervlakte is gebruik gemaakt van het Actueel Hoogtebestand Nederland als broninformatie. Voor het bepalen van het niet-openbare gebied is gebruik gemaakt van informatie uit basisregistraties. Meer informatie over de gevolgde methode vind je in het kaartverhaal
Boomkroonoppervlakte binnen 500 meter: aandeel >30% ;Gebiedskenmerken;percPanden_30Regel;AHN3,AHN4,AHN5;BK;Percentage panden met meer dan 30% boomkroonoppervlakte binnen 500 meter;Percentage;Friedenau Society (2026);Deze statistieken laten zien welk percentage van de panden meer dan 30% boomkroonoppervlakte heeft binnen 500 meter. Het percentage van 30 verwijst naar de 30 in de 3/30/300 regel. Voor het bepalen van het boomkroonoppervlakte is gebruik gemaakt van het Actueel Hoogtebestand Nederland als broninformatie. Meer informatie over de gevolgde methode vind je in het kaartverhaal
Boomkroonoppervlakte binnen 500 meter: aandeel tussen 10% en 30%;Gebiedskenmerken;percPanden_tusen10en30Regel;AHN3,AHN4,AHN5;BK;Percentage panden met tussen de 10 en 30% boomkroonoppervlakte binnen 500 meter;Percentage;Friedenau Society (2026);Deze statistieken laten zien welk percentage van de panden tussen de 10 en 30% boomkroonoppervlakte heeft binnen 500 meter. Voor het bepalen van het boomkroonoppervlakte is gebruik gemaakt van het Actueel Hoogtebestand Nederland als broninformatie. Meer informatie over de gevolgde methode vind je in het kaartverhaal
Boomkroonoppervlakte binnen 500 meter: gem percentage;Gebiedskenmerken;gemScore_BKB_perPand;AHN3,AHN4,AHN5;BK;Gemiddelde percentage boomkroonbedekking binnen 500 meter;Percentage;Friedenau Society (2026);Deze statistieken laten zien wat het gemiddelde percentage boomkroonoppervlakte binnen 500 meter is voor de panden in de buurt. Voor het bepalen van het boomkroonoppervlakte is gebruik gemaakt van het Actueel Hoogtebestand Nederland als broninformatie. Meer informatie over de gevolgde methode vind je in het kaartverhaal
Groen;Gebiedskenmerken;Groen_PercLand;;BK;Percentage Groen;Percentage;Friedenau Society (2025);Deze statistieken tonen het percentage groen op basis van de Basiskaart Groen en verharding. Uit de Totaalkaart worden de gebieden met boomkroonbedekking, struiken en onverhard - gras opgeteld en weergeven als percentage van het totale landoppervlakte. Agrarisch gebied is niet als groen meegenomen. De klasse onverhard is ook niet als groen meegenomen, hoewel deze wel groen kan zijn. Meer informatie over de gevolgde methode vind je in het kaartverhaal.
Groen openbaar;Gebiedskenmerken;Groen_Openbaar_PercOpenbaar;;BK;Percentage Groen openbaar;Percentage;Friedenau Society (2025);Deze statistieken tonen het percentage groen in het openbaar gebied op basis van de Basiskaart Groen en verharding. Uit de Totaalkaart worden de gebieden met boomkroonbedekking, struiken en onverhard - gras opgeteld. Agrarisch gebied is niet als groen meegenomen. De klasse onverhard is ook niet als groen meegenomen, hoewel deze wel groen kan zijn. Voor het bepalen van het openbare gebied is gebruik gemaakt van informatie uit basisregistraties. Meer informatie over de gevolgde methode vind je in het kaartverhaal via de knop meer info
Groen niet-openbaar;Gebiedskenmerken;Groen_NietOpenbaar_PercNO;;BK;Percentage Groen niet-openbaar;Percentage;Friedenau Society (2025);Deze statistieken tonen het percentage groen in niet-openbaar gebied op basis van de Basiskaart Groen en verharding. Uit de Totaalkaart worden de gebieden met boomkroonbedekking, struiken en onverhard - gras opgeteld. Agrarisch gebied is niet als groen meegenomen. De klasse onverhard is ook niet als groen meegenomen, hoewel deze wel groen kan zijn. Voor het bepalen van het niet-openbare gebied is gebruik gemaakt van informatie uit basisregistraties. Meer informatie over de gevolgde methode vind je in het kaartverhaal via de knop meer info
Verharding ;Gebiedskenmerken;Steen_PercLand;;BK;Percentage Verharding ;Percentage;Friedenau Society (2025);Deze statistieken tonen het percentage verharding op basis van de Basiskaart Groen en verharding. Uit de landbedekkingskaart is de klasse verhard gebruikt en weergegeven als percentage van het totale landoppervlakte. Er is enkel gekeken naar de buitenruimte: gebouwen zijn niet als verhard geclassificeerd. Meer informatie over de gevolgde methode vind je in het kaartverhaal via de knop meer info
Verharding openbaar;Gebiedskenmerken;Steen_Openbaar_PercOpenbaar;;BK;Percentage Verharding openbaar;Percentage;Friedenau Society (2025);Deze statistieken tonen het percentage verharding voor het openbare gebied op basis van de Basiskaart Groen en verharding. Uit de landbedekkingskaart is de klasse verhard gebruikt. Er is enkel gekeken naar de buitenruimte: gebouwen zijn niet als verhard geclassificeerd. Voor het bepalen van het openbare gebied is gebruik gemaakt van informatie uit basisregistraties. Meer informatie over de gevolgde methode vind je in het kaartverhaal via de knop meer info
Verharding niet-openbaar;Gebiedskenmerken;Steen_NietOpenbaar_PercNO;;BK;Percentage Verharding niet-openbaar;Percentage;Friedenau Society (2025);Deze statistieken tonen het percentage verharding voor het niet-openbare gebied op basis van de Basiskaart Groen en verharding. Uit de landbedekkingskaart is de klasse verhard gebruikt. Er is enkel gekeken naar de buitenruimte: gebouwen zijn niet als verhard geclassificeerd. Voor het bepalen van het niet-openbare gebied is gebruik gemaakt van informatie uit basisregistraties. Meer informatie over de gevolgde methode vind je in het kaartverhaal via de knop meer info
Water;Gebiedskenmerken;Water_VSK_PercTotaal;;BK;Percentage Water;Percentage;Friedenau Society (2025);De kaart toont het percentage water per buurt op basis van de Basiskaart Verharding en Groen. Uit de landbedekkingskaart is de klasse water gebruikt. Meer informatie over de gevolgde methode vind je in het kaartverhaal via de knop meer info
Landbedekking - Gebouwen;Gebiedskenmerken;Gebouwen_VSK_PercLand;;BK;Percentage Landbedekking - Gebouwen;Percentage;Friedenau Society (2025);De statistieken tonen de verdeling van de landbedekking op basis van de Basiskaart Groen en verharding. Uit de Totaalkaart worden de klassen onverhard, onverhard - gras, onverhard - struiken, halfverhard, verhard en gebouwen getoond als percentage van het totale landoppervlakte. Meer informatie over de gevolgde methode vind je in het kaartverhaal.
Landbedekking - Verhard;Gebiedskenmerken;Verhard_PercLand;;BK;Percentage Landbedekking - Verhard;Percentage;Friedenau Society (2025);De statistieken tonen de verdeling tussen openbaar gebied, niet-openbaar gebied en gebouwen op basis van de Basiskaart Groen en Verharding. Hiervoor wordt de kaart openbaar gebied en niet-openbaar gebied gebruikt. Meer informatie over de gevolgde methode vind je in het kaartverhaal via de knop meer info
Landbedekking - Halfverhard;Gebiedskenmerken;Halfverhard_PercLand;;BK;Percentage Landbedekking - Halfverhard;Percentage;Friedenau Society (2025);De statistieken tonen de verdeling tussen openbaar gebied, niet-openbaar gebied en gebouwen op basis van de Basiskaart Groen en Verharding. Hiervoor wordt de kaart openbaar gebied en niet-openbaar gebied gebruikt. Meer informatie over de gevolgde methode vind je in het kaartverhaal via de knop meer info
Landbedekking - Onverhard;Gebiedskenmerken;Onverhard_agr_percland ;;BK;Percentage Landbedekking - Onverhard ;Percentage;Friedenau Society (2025);De statistieken tonen de verdeling tussen openbaar gebied, niet-openbaar gebied en gebouwen op basis van de Basiskaart Groen en Verharding. Hiervoor wordt de kaart openbaar gebied en niet-openbaar gebied gebruikt. Meer informatie over de gevolgde methode vind je in het kaartverhaal via de knop meer info
Landbedekking - Gras;Gebiedskenmerken;Gras_PercLand;;BK;Percentage Landbedekking - Gras;Percentage;Friedenau Society (2025);De statistieken tonen de verdeling tussen openbaar gebied, niet-openbaar gebied en gebouwen op basis van de Basiskaart Groen en Verharding. Hiervoor wordt de kaart openbaar gebied en niet-openbaar gebied gebruikt. Meer informatie over de gevolgde methode vind je in het kaartverhaal via de knop meer info
Landbedekking - Struiken;Gebiedskenmerken;Struiken_PercLand;;BK;Percentage Landbedekking - Struiken;Percentage;Friedenau Society (2025);De statistieken tonen de verdeling tussen openbaar gebied, niet-openbaar gebied en gebouwen op basis van de Basiskaart Groen en Verharding. Hiervoor wordt de kaart openbaar gebied en niet-openbaar gebied gebruikt. Meer informatie over de gevolgde methode vind je in het kaartverhaal via de knop meer info
Openbaar gebied;Gebiedskenmerken;Openbaar_percland;;;Percentage Openbaar gebied;Percentage;Friedenau Society (2025);De statistieken tonen de verdeling tussen openbaar gebied, niet-openbaar gebied en gebouwen op basis van de Basiskaart Groen en Verharding. Hiervoor wordt de kaart openbaar gebied en niet-openbaar gebied gebruikt. Meer informatie over de gevolgde methode vind je in het kaartverhaal via de knop meer info
Niet openbaar gebied;Gebiedskenmerken;Nietopenbaar_percland;;;Percentage Niet openbaar gebied;Percentage;Friedenau Society (2025);De statistieken tonen de verdeling tussen openbaar gebied, niet-openbaar gebied en gebouwen op basis van de Basiskaart Groen en Verharding. Hiervoor wordt de kaart openbaar gebied en niet-openbaar gebied gebruikt. Meer informatie over de gevolgde methode vind je in het kaartverhaal via de knop meer info
Gebouwen in ONO kaart;Gebiedskenmerken;Gebouwen_ONO_PercLand;;;Percentage gebouwen in Openbaar/niet-openbaar kaart;Percentage;Friedenau Society (2025);De statistieken tonen de verdeling tussen openbaar gebied, niet-openbaar gebied en gebouwen op basis van de Basiskaart Groen en Verharding. Hiervoor wordt de kaart openbaar gebied en niet-openbaar gebied gebruikt. Meer informatie over de gevolgde methode vind je in het kaartverhaal via de knop meer info. Vanwege verschillen in de methodiek wijkt deze indicator iets af van de gebouwdefinitie in de totaalkaart (VSK).
Groen per inwoner;Gebiedskenmerken;Groen_PerInwoner_m2;;;Hoeveelheid m2 groen per inwoner;m2;Friedenau Society (2025);Deze statistieken tonen de hoeveelheid groen per inwoner op basis van de basiskaart Groen en Varharding en de CBS Wijk en Buurkaart 2024
Schaduw totaal;Gebiedskenmerken;SHDTot_percLand;AHN3,AHN4,AHN5;BK;Percentage schaduw ;Percentage;Friedenau Society (2026);Deze statistieken laten het percentage schaduw zien in de buurt. De schaduwkaart gaat uit van de schaduw op 21 juni om 15:30 uur, het heetste moment op de langste dag van het jaar. In de maatlat wordt een streefwaarde genoemd van 30% genoemd. Wil je meer informatie over deze statistieken? Ga dan naar het kaartverhaal.
Schaduw openbaar gebied;Gebiedskenmerken;SHDTot_Op_percOp;AHN3,AHN4,AHN5;BK;Percentage schaduw in openbaar gebied;Percentage;Friedenau Society (2026);Deze statistieken laten het percentage schaduw in het openbaar gebied zien binnen de buurt. De schaduwkaart gaat uit van de schaduw op 21 juni om 15:30 uur, het heetste moment op de langste dag van het jaar. In de maatlat wordt een streefwaarde genoemd van 30% genoemd. Voor het bepalen van het openbare gebied is gebruik gemaakt van informatie uit basisregistraties. Wil je meer informatie over deze statistieken? Ga dan naar het kaartverhaal.
Schaduw niet-openbaar gebied;Gebiedskenmerken;SHDTot_NO_percNO;AHN3,AHN4,AHN5;BK;Percentage schaduw in niet-openbaar gebied;Percentage;Friedenau Society (2026);Deze statistieken laten het percentage schaduw in het niet-openbare gebied zien binnen de buurt. De schaduwkaart gaat uit van de schaduw op 21 juni om 15:30 uur, het heetste moment op de langste dag van het jaar. In de maatlat wordt een streefwaarde genoemd van 30% genoemd. Voor het bepalen van het niet-openbare gebied is gebruik gemaakt van informatie uit basisregistraties. Wil je meer informatie over deze statistieken? Ga dan naar het kaartverhaal.
Schaduw groen;Gebiedskenmerken;SHDGroen_percLand;AHN3,AHN4,AHN5;BK;Percentage groene schaduw;Percentage;Friedenau Society (2026);Deze statistieken laten het percentage groene schaduw zien in de buurt. Groene schaduw staat voor schaduw van bomen. De schaduwkaart gaat uit van de schaduw op 21 juni om 15:30 uur, het heetste moment op de langste dag van het jaar. Wil je meer informatie over deze statistieken? Ga dan naar het kaartverhaal.
Schaduw groen binnen openbaar gebied;Gebiedskenmerken;SHDGroen_Op_percOp;AHN3,AHN4,AHN5;BK;Percentage groene schaduw in openbaar gebied;Percentage;Friedenau Society (2026);Deze statistieken laten het percentage groene schaduw zien in het openbare gebied binnen de buurt. Groene schaduw staat voor schaduw van bomen. De schaduwkaart gaat uit van de schaduw op 21 juni om 15:30 uur, het heetste moment op de langste dag van het jaar. Voor het bepalen van het openbare gebied is gebruik gemaakt van informatie uit basisregistraties.. Wil je meer informatie over deze statistieken? Ga dan naar het kaartverhaal.
Schaduw groen binnen niet-openbaar gebied;Gebiedskenmerken;SHDGroen_NO_percNO;AHN3,AHN4,AHN5;BK;Percentage groene schaduw in niet-openbaar gebied;Percentage;Friedenau Society (2026);Deze statistieken laten het percentage groene schaduw zien in het niet-openbare gebied binnen de buurt. Groene schaduw staat voor schaduw van bomen. De schaduwkaart gaat uit van de schaduw op 21 juni om 15:30 uur, het heetste moment op de langste dag van het jaar. Voor het bepalen van het niet-openbare gebied is gebruik gemaakt van informatie uit basisregistraties. Wil je meer informatie over deze statistieken? Ga dan naar het kaartverhaal.
Schaduw grijs;Gebiedskenmerken;SHDGrijs_percLand;AHN3,AHN4,AHN5;BK;Percentage grijze schaduw;Percentage;Friedenau Society (2026);Deze statistieken laten het percentage grijze schaduw zien in de buurt. Grijze schaduw staat voor schaduw van gebouwen en andere objecten dan bomen. De schaduwkaart gaat uit van de schaduw op 21 juni om 15:30 uur, het heetste moment op de langste dag van het jaar. Wil je meer informatie over deze statistieken? Ga dan naar het kaartverhaal.
Schaduw grijs binnen openbaar gebied;Gebiedskenmerken;SHDGrijs_Op_percOp;AHN3,AHN4,AHN5;BK;Percentage grijze schaduw in openbaar gebied;Percentage;Friedenau Society (2026);Deze statistieken laten het percentage grijze schaduw zien in het openbare gebied binnen de buurt. Grijze schaduw staat voor schaduw van gebouwen en andere objecten dan bomen. De schaduwkaart gaat uit van de schaduw op 21 juni om 15:30 uur, het heetste moment op de langste dag van het jaar. Voor het bepalen van het openbare gebied is gebruik gemaakt van informatie uit basisregistraties.. Wil je meer informatie over deze statistieken? Ga dan naar het kaartverhaal.
Schaduw grijs binnen niet-openbaar gebied;Gebiedskenmerken;SHDGrijs_NO_percNO;AHN3,AHN4,AHN5;BK;Percentage grijze schaduw in niet-openbaar gebied;Percentage;Friedenau Society (2026);Deze statistieken laten het percentage grijze schaduw zien in het niet-openbare gebied binnen de buurt. Grijze schaduw staat voor schaduw van gebouwen en andere objecten dan bomen. De schaduwkaart gaat uit van de schaduw op 21 juni om 15:30 uur, het heetste moment op de langste dag van het jaar. Voor het bepalen van het niet-openbare gebied is gebruik gemaakt van informatie uit basisregistraties. Wil je meer informatie over deze statistieken? Ga dan naar het kaartverhaal.
Schaduw wandel- en fietspaden totaal;Gebiedskenmerken;SHDTot_LVR_percLVR;AHN3,AHN4,AHN5;BK;Percentage schaduw op fiets- en wandelpaden;Percentage;Friedenau Society (2026);Deze statistieken laten het percentage schaduw zien op wandel- en fietspaden. De schaduwkaart gaat uit van de schaduw op 21 juni om 15:30 uur, omdat dit de langste dag van het jaar is met de kortste schaduwen. In de maatlat wordt een streefwaarde genoemd van 40% op belangrijke loop- en fietsroutes. De fiets- en wandelpaden komen uit de Basiskaart Grootschalige Topografie. Wil je meer informatie over deze statistieken? Ga dan naar het kaartverhaal.
Schaduw wandel- en fietspaden: aandeel groene schaduw;Gebiedskenmerken;SHDGroen_LVR_percLVR;AHN3,AHN4,AHN5;BK;Percentage groene schaduw op fiets- en wandelpaden;Percentage;Friedenau Society (2026);Deze statistieken laten het percentage groene schaduw zien op wandel- en fietspaden. Groene schaduw staat voor schaduw van bomen. De schaduwkaart gaat uit van de schaduw op 21 juni om 15:30 uur, omdat dit de langste dag van het jaar is met de kortste schaduwen. De fiets- en wandelpaden komen uit de Basiskaart Grootschalige Topografie. Wil je meer informatie over deze statistieken? Ga dan naar het kaartverhaal.
Schaduw wandel- en fietspaden: aandeel grijze schaduw;Gebiedskenmerken;SHDGrijs_LVR_percLVR;AHN3,AHN4,AHN5;BK;Percentage grijze schaduw op fiets- en wandelpaden;Percentage;Friedenau Society (2026);Deze statistieken laten het percentage grijze schaduw zien op wandel- en fietspaden. Grijze schaduw staat voor schaduw van gebouwen en andere objecten dan bomen. De schaduwkaart gaat uit van de schaduw op 21 juni om 15:30 uur, omdat dit de langste dag van het jaar is met de kortste schaduwen. De fiets- en wandelpaden komen uit de Basiskaart Grootschalige Topografie. Wil je meer informatie over deze statistieken? Ga dan naar het kaartverhaal.
nvt;nvt;JaarAHN2;;;Jaar van inwinning AHN2;;;
nvt;nvt;JaarAHN3;;;Jaar van inwinning AHN3;;;
nvt;nvt;JaarAHN4;;;Jaar van inwinning AHN4;;;
nvt;nvt;JaarAHN5;;;Jaar van inwinning AHN5;;;
nvt;Gebiedskenmerken;Oppervlakte_Land_VSK_m2;;BK;Oppervlakte land op basis van de Versteningskaart en landbedekkingskaart;m2;Friedenau Society (2026);Totale oppervlakte land per buurt op basis van de landbedekkingskaart / totaalkaart (VSK)
nvt;Gebiedskenmerken;Oppervlakte_Land_ONO_m2;;BK;Oppervlakte land op basis van de Openbaar / niet-openbaarkaart;m2;Friedenau Society (2026);Totale oppervlakte land per buurt op basis van de openbaar / niet-openbaar kaart
nvt;Gebiedskenmerken;Oppervlakte_Openbaar_m2;;BK;Oppervlakte openbaar gebied ;m2;Friedenau Society (2026);Oppervlakte openbaar gebied per buurt op basis van de openbaar / niet-openbaar kaart
nvt;Gebiedskenmerken;Oppervlakte_NietOpenbaar_m2;;BK;Oppervlakte niet-openbaar gebied ;m2;Friedenau Society (2026);Oppervlakte niet-openbaar gebied per buurt op basis van de openbaar / niet-openbaar kaart
nvt;;Shape_area;;;Totale oppervlakte van de buurt;m2;;Totale oppervlakte van de buurt op basis van CBS-buurt
