Indicator;Categorie;Attribuutnaam;Beschikbare AHNversies (naam achtervoegsel);Bebouwde kom beschikbaar (naam achtervoegsel);Omschrijving kort;Eenheid;Bron;Omschrijving lang
nvt;nvt;def_wijkty;;;Wijktype;Tekst;Hogeschool van Amsterdam (2023);Beschrijving van het wijktype dat het meest voorkomt binnen de geselecteerde buurt
Gemiddelde WOZ-waarde;Gebiedskenmerken;G_WOZ;;;Gemiddelde WOZ-waarde;Euro's;CBS (2023);Deze statistieken laten de gemiddelde WOZ-waarde per buurt zien op basis van de Wijk- en Buurtkaart 2022 van het CBS. De WOZ-waarde geeft een indicatie van de sociaaleconomische status van een buurt. In buurten met een hoge WOZ-waarde kunnen inwoners meestal makkelijker zelf adaptatiemaatregelen nemen. 
Percentage huurwoningen;Kwetsbaarheid;HuurwTperc;;;Percentage huurwoningen;Percentage;CBS (2023);Deze statistieken tonen hoeveel procent van de woningen bestaat uit huurwoningen. Voor bewoners van huurwoningen is het lastiger om grote aanpassingen te doen aan hun woning. Ze kunnen bijvoorbeeld niet zomaar zonneschermen plaatsen. De statistieken komen van de CBS Wijk- en Buurtkaart 2022.
Moeite met rondkomen;Kwetsbaarheid;F18MoeiteMe;;;Percentage moeite met rondkomen;Percentage;RIVM (2020);Deze statistieken tonen het percentage mensen boven de 18 jaar dat in 2020 moeite had met rondkomen. Deze groep heeft minder financi‘le ruimte om maatregelen te nemen tegen hitte. Ga voor meer informatie over deze statistieken naar de Buurtatlas van het RIVM.
Ernstige eenzaamheid;Kwetsbaarheid;F18ErnstigZ;;;Percentage ernstige eenzaamheid;Percentage;RIVM (2020);Deze statistieken tonen het percentage ernstig eenzame mensen boven de 18 jaar. Deze mensen zijn extra kwetsbaar voor hitte omdat ze weinig sociale contacten hebben. Dit vergroot het risico op uitdroging en oververhitting bij een hittegolf. Ga voor meer informatie over deze statistieken naar de Buurtatlas van het RIVM. 
Ernstig overgewicht;Kwetsbaarheid;F1865ErnsOv;;;Percentage ernstig overgewicht;Percentage;RIVM (2020);Deze statistieken tonen het percentage mensen boven de 18 jaar met ernstig overgewicht.  Deze mensen is extra kwetsbaar voor hitte. Dit vergroot het risico op uitdroging en oververhitting bij een hittegolf. Ga voor meer informatie over deze statistieken naar de Buurtatlas van het RIVM. 
Hitte en broze 65-plussers;Kwetsbaarheid;BrozeGezon;;;Percentage broze gezondheid;Percentage;CBS (2022);Deze statistieken laten het percentage 65-plussers zien met een broze gezondheid. Deze groep is extra kwetsbaar voor hitte. Het begrip broosheid omvat fysieke gezondheid, mentale gezondheid en sociale gezondheid. Wil je meer weten over de relatie tussen 65-plussers met een broze gezondheid en hitte? Ga dan naar het kaartverhaal.  
Risico paalrot Huidig;Effecten;Paal_Huidig;;;Risico paalrot Huidig;Percentage;Klimaateffectatlas: Deltares (2021);Deze statistieken laten de risicoÕs op paalrot zien in het huidige klimaat. Het risico wordt berekend door het percentage panden met houten palen op een locatie te combineren met de gevoeligheid van die locatie voor paalrot. Wil je meer weten over de achtergrond van deze statistieken? Ga dan naar het kaartverhaal.
Risico paalrot 2050 Hoog;Effecten;Paalrot_2050_Hoog;;;Risico paalrot 2050 Hoog;Percentage;Klimaateffectatlas: Deltares (2021);Deze statistieken laten zien wat in 2050 de risicoÕs op paalrot zijn als het klimaat sterk verandert. Door veranderingen in grondwaterstanden kan het risico op paalrot veranderen. Het risico wordt berekend door het percentage panden met houten palen op een locatie te combineren met de gevoeligheid van die locatie voor paalrot. Wil je meer weten over de achtergrond van deze statistieken? Ga dan naar het kaartverhaal.
Verschilzetting 2050 Hoog;Effecten;Verschilzetting_2050_Hoog;;;Risico verschilzetting 2050 Hoog;Percentage;Klimaateffectatlas: Deltares (2021);Deze statistieken laten de risicoÕs zien voor verschilzetting in 2050 bij sterke klimaatverandering. Het risico wordt berekend door het percentage panden op staal op een locatie te combineren met de gevoeligheid van die locatie voor verschilzetting. Wil je meer weten over de achtergrond van deze statistieken? Ga dan naar het kaartverhaal.
Gevoelstemperatuur - AHN4;Effecten;PET29tm34p;AHN2,AHN4;;Percentage gevoelstemperatuur tussen 29 en 34 graden;Percentage;Klimaateffectatlas: Nelen&Schuurmans (2024);Deze percentages laten zien hoe hoog de gevoelstemperatuur in de buitenruimte wordt op een hete, vrijwel windstille zomerdag. Vooral buurten met weinig schaduw en veel verharding warmen sterk op. Wil je weten waarop deze percentages zijn gebaseerd? Ga dan naar het kaartverhaal.
Gevoelstemperatuur - AHN4;Effecten;PET35tm40p;;;Percentage gevoelstemperatuur tussen 35 en 40 graden;Percentage;Klimaateffectatlas: Nelen&Schuurmans (2024);Deze percentages laten zien hoe hoog de gevoelstemperatuur in de buitenruimte wordt op een hete, vrijwel windstille zomerdag. Vooral buurten met weinig schaduw en veel verharding warmen sterk op. Wil je weten waarop deze percentages zijn gebaseerd? Ga dan naar het kaartverhaal.
Gevoelstemperatuur - AHN4;Effecten;PET41tm45p;;;Percentage gevoelstemperatuur tussen 41 en 45 graden;Percentage;Klimaateffectatlas: Nelen&Schuurmans (2024);Deze percentages laten zien hoe hoog de gevoelstemperatuur in de buitenruimte wordt op een hete, vrijwel windstille zomerdag. Vooral buurten met weinig schaduw en veel verharding warmen sterk op. Wil je weten waarop deze percentages zijn gebaseerd? Ga dan naar het kaartverhaal.
Gevoelstemperatuur - AHN4;Effecten;PET46tm50p;;;Percentage gevoelstemperatuur tussen 46 en 50 graden;Percentage;Klimaateffectatlas: Nelen&Schuurmans (2024);Deze percentages laten zien hoe hoog de gevoelstemperatuur in de buitenruimte wordt op een hete, vrijwel windstille zomerdag. Vooral buurten met weinig schaduw en veel verharding warmen sterk op. Wil je weten waarop deze percentages zijn gebaseerd? Ga dan naar het kaartverhaal.
Gevoelstemperatuur - AHN4;Effecten;PET51plusp;;;Percentage gevoelstemperatuur 51 graden;Percentage;Klimaateffectatlas: Nelen&Schuurmans (2024);Deze percentages laten zien hoe hoog de gevoelstemperatuur in de buitenruimte wordt op een hete, vrijwel windstille zomerdag. Vooral buurten met weinig schaduw en veel verharding warmen sterk op. Wil je weten waarop deze percentages zijn gebaseerd? Ga dan naar het kaartverhaal.
Gevoelstemperatuur - AHN4;Effecten;PET_NDp;;;Percentage gevoelstemperatuur NoData;Percentage;Klimaateffectatlas: Nelen&Schuurmans (2024);Deze percentages laten zien hoe hoog de gevoelstemperatuur in de buitenruimte wordt op een hete, vrijwel windstille zomerdag. Vooral buurten met weinig schaduw en veel verharding warmen sterk op. Wil je weten waarop deze percentages zijn gebaseerd? Ga dan naar het kaartverhaal.
Waterdiepte bij hevige bui;Effecten;perc5_10cm;;;Percentage waterdiepte tussen 5 tot 10 cm;Percentage;Klimaateffectatlas: Deltares / ROR (2018);Deze statistieken laten zien welke waterdiepte ontstaat bij een hevige zomerbui. De grafieken tonen het percentage van een gebied per waterdiepteklasse. Gebouwen, oppervlaktewater en gebieden met minder dan 5 cm worden niet getoond met gekleurde balkjes. De statistieken gaan uit van een gelijke rioolbergings- en afvoercapaciteit en van de hoogtekaart van 2012. Dat betekent dat deze informatie niet bruikbaar is voor gebieden die na 2012 zijn ontwikkeld of aangepast. Wil je meer weten over de achtergrond van deze statistieken? Ga dan naar het kaartverhaal.
Waterdiepte bij hevige bui;Effecten;perc10_15cm;;;Percentage waterdiepte tussen 10 tot 15 cm;Percentage;Klimaateffectatlas: Deltares / ROR (2018);Deze statistieken laten zien welke waterdiepte ontstaat bij een hevige zomerbui. De grafieken tonen het percentage van een gebied per waterdiepteklasse. Gebouwen, oppervlaktewater en gebieden met minder dan 5 cm worden niet getoond met gekleurde balkjes. De statistieken gaan uit van een gelijke rioolbergings- en afvoercapaciteit en van de hoogtekaart van 2012. Dat betekent dat deze informatie niet bruikbaar is voor gebieden die na 2012 zijn ontwikkeld of aangepast. Wil je meer weten over de achtergrond van deze statistieken? Ga dan naar het kaartverhaal.
Waterdiepte bij hevige bui;Effecten;perc15_20cm;;;Percentage waterdiepte tussen 15 tot 20 cm;Percentage;Klimaateffectatlas: Deltares / ROR (2018);Deze statistieken laten zien welke waterdiepte ontstaat bij een hevige zomerbui. De grafieken tonen het percentage van een gebied per waterdiepteklasse. Gebouwen, oppervlaktewater en gebieden met minder dan 5 cm worden niet getoond met gekleurde balkjes. De statistieken gaan uit van een gelijke rioolbergings- en afvoercapaciteit en van de hoogtekaart van 2012. Dat betekent dat deze informatie niet bruikbaar is voor gebieden die na 2012 zijn ontwikkeld of aangepast. Wil je meer weten over de achtergrond van deze statistieken? Ga dan naar het kaartverhaal.
Waterdiepte bij hevige bui;Effecten;perc20_30cm;;;Percentage waterdiepte tussen 20 tot 30 cm;Percentage;Klimaateffectatlas: Deltares / ROR (2018);Deze statistieken laten zien welke waterdiepte ontstaat bij een hevige zomerbui. De grafieken tonen het percentage van een gebied per waterdiepteklasse. Gebouwen, oppervlaktewater en gebieden met minder dan 5 cm worden niet getoond met gekleurde balkjes. De statistieken gaan uit van een gelijke rioolbergings- en afvoercapaciteit en van de hoogtekaart van 2012. Dat betekent dat deze informatie niet bruikbaar is voor gebieden die na 2012 zijn ontwikkeld of aangepast. Wil je meer weten over de achtergrond van deze statistieken? Ga dan naar het kaartverhaal.
