Thema;Titel dataset in de kaartviewer;Datasetnaam in downloadfolder;Varianten van dataset;Klimaatscenario's;Kennisinstelling/bronhouder;Publicatiedatum op KEA;Oorspronkelijke publicatiedatum (indien afwijkend van KEA);Resolutie;Eenheden;Attribuutvelden ter visualisatie;Link kaartverhaal NL;Map narrative ENG;Aanvullend Kaartverhaal / Informatie;Additional map explanation / information ENG;Link NGR;WMS-laag
Droogte;Tekort oppervlaktewater gemiddeld jaar;"Tekort oppervlaktewater gemiddeld jaar 2050 Hoog.gpkg
Tekort oppervlaktewater gemiddeld jaar Huidig.gpkg";2050 hoog, huidig;KNMI'14;Nationaal Water Model;2019;;regionale watersystemen;"categorieën tekort oppervlaktewater:
0 = geen problemen
1 = te weinig
2 = te zout
4 = te krap
5 = te weinig + te krap
6 = te zout + te krap
9 = geen wateraanvoer mogelijk";;https://www.klimaateffectatlas.nl/nl/tekort-oppervlaktewater;https://www.klimaateffectatlas.nl/en/surface-water-deficits;;;;"tekort_opvwater_gem_2050hoog
tekort_opvwater_gem_huidig"
Droogte;Droogtegevoeligheid Grondwaterafhankelijke Natuur;Droogtegevoeligheid grondwaterafhankelijke natuur.gpkg;huidig;n.v.t.;KWR & FWE;2021;;Natuurbeheertypegebieden;"Droogtegevoeligheid:
W = weinig gevoelig
G = Gevoelig
Z = Zeer gevoelig
anders = Niet grondwaterafhankelijk";;https://www.klimaateffectatlas.nl/nl/droogtegevoeligheid-natuur;https://www.klimaateffectatlas.nl/en/drought-susceptibility-nature;;;;droogtegevoeligheidgrondwaterafhankelijkenatuur
Droogte;Risico droogtestress;"Risico droogtestress 2050 Hoog.tif
Risico droogtestress Huidig.tif";2050 hoog, huidig;KNMI'14;KWR Water  ;2017;;250x250 meter;"Jaarlijkse opbrengstderving bij gras:
<= 1 = n.v.t.
t/m 20 = Laag (jaarlijkse opbrangstderving <10% bij gras)
t/m 30 = Matig (jaarlijkse opbrengstderving 10%-20% bij gras)
> 30 = Hoog (jaarlijkse opbrengstderving >20% bij gras)";n.v.t.;https://www.klimaateffectatlas.nl/nl/droogtestress;https://www.klimaateffectatlas.nl/en/drought-stress;;;;"droogtestress_2050hoog
droogtestress_huidig"
Droogte;Risico paalrot;"Risico Paalrot 2050 Hoog.gpkg
Risico Paalrot 2050 Laag.gpkg
Risico Paalrot Huidig";2050 hoog, 2050 laag, huidig;KNMI'14;Deltares;2021;;CBS buurtniveau;"Risico op paalrot:
0 - 0,8 = zeer laag risico
0,8 - 3,0 = laag risico
3,0 - 6,0 = matig risico
6,0 - 15,0 = hoog risico
> 15,0 = zeer hoog risico";"Risico paalrot 2050 hoog: sterke_c_2
Risico paalrot 2050 laag: mild_cc__1
Risico paalrot huidig: no_cc_risi";https://www.klimaateffectatlas.nl/nl/risicokaarten-funderingen;https://www.klimaateffectatlas.nl/en/foundation-risk-map;;;https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/cf208d1b-3c0d-402a-87c8-5b5ed6e2ed78;"risicopaalrot_2050laag
risicopaalrot_2050hoog
risicopaalrot_huidig"
Droogte;Risico verschilzetting;"Risico Verschilzetting 2050 Hoog.gpkg
Risico Verschilzetting 2050 Laag.gpkg";2050 hoog, 2050 laag;KNMI'14;Deltares;2021;;CBS buurtniveau;"Risico op verschilzetting:
0 - 1,0 = zeer laag risico
1,0 - 5,0 = laag risico
5,0 - 10,0 = matig risico
10,0 - 25,0 = hoog risico
> 25,0 = zeer hoog risico";"Risico verschilzetting 2050 hoog: sterke_c_1
Risico verschilzetting 2050 laag: mild_cc_ri";https://www.klimaateffectatlas.nl/nl/risicokaarten-funderingen;https://www.klimaateffectatlas.nl/en/foundation-risk-map;;;https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/cf208d1b-3c0d-402a-87c8-5b5ed6e2ed78;"risicoverschilzetting_2050laag
risicoverschilzetting_2050hoog"
Hitte;Stedelijk hitte eiland effect;Stedelijk hitte eiland effect.tif;huidig;n.v.t.;Atlas Natuurlijk Kapitaal;2017;;10x10 meter;graden Celsius;n.v.t.;;;;;;hitteeiland
Hitte;Afstand tot koelte (zoom in);Afstand tot koelte.gpkg;huidig;n.v.t.;TAUW & Hogeschool van Amsterdam;2021;;gebouwen + koele plekken;categorieën meters tot koele plek + koele plek;Legenda;https://www.klimaateffectatlas.nl/nl/afstand-tot-koeltekaart;https://www.klimaateffectatlas.nl/en/distance-to-cooling;;;;Afstand_tot_koelte
Hitte;Ernstig eenzame 75+ers;Ernstig eenzame 75+ers.gpkg;huidig;n.v.t.;Gezondheidsmonitor / RIVM;2020;;CBS buurtniveau;Aantal eenzame 75+ers per KM2;DENSITY_O;;;;;;eenzame_75plussers
Hitte;"Gevoelstemperatuur Buurtniveau 2012
Gevoelstemperatuur Buurtniveau 2022
Gevoelstemperatuur 2012
Gevoelstemperatuur 2022";"GevoelstemperatuurBuurt_2012.gpkg
GevoelstemperatuurBuurt_2022.gpkg
Gevoelstemperatuur2012_Raster > PET_ahn2.vrt
Gevoelstemperatuur2022_Raster > PET_ahn4.vrt";2012, 2022, 2012 buurt, 2022 buurt;n.v.t.;Nelen & Schuurmans;2024;;"CBS buurtniveau 2024
2x2 meter";(categorieën) graden Celcius;"GevoelstemperatuurBuurt_2022: RIVMClass
GevoelstemperatuurBuurt_2012: Class";https://www.klimaateffectatlas.nl/nl/gevoelstemperatuur;https://www.klimaateffectatlas.nl/en/perceived-temperature;;;https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/c176ea7d-00dc-4a90-9170-bd62b6ea48ad;"gevoelstemperatuur_2012
gevoelstemperatuur_2022
GevoelstemperatuurBuurt_2012
GevoelstemperatuurBuurt_2022"
Hitte;Hittestress door warme nachten;"Hittestress door warme nachten 2050 Hoog.tif
Hittestress door warme nachten Huidig.tif";2050 hoog, huidig;KNMI'14;Wageningen Environmental Research;2016;;100x100 meter;tijdseenheden (dag, week, weken, maand);n.v.t.;https://www.klimaateffectatlas.nl/nl/nachthitte;https://www.klimaateffectatlas.nl/en/night-heat;;;;"warme_nachten_2050hoog
warme_nachten_huidig"
Hitte;n.v.t.;"HittegolfJuli19.tif
HittegolfJuli19_2grWarmer.tif";2019, 2019 in 2gr warmere wereld;2 graden warmer (geen scenario/jaartal);KNMI;2024;2019;500x500 meter;graden Celsius;n.v.t.;https://www.klimaateffectatlas.nl/nl/hittegolf;https://www.klimaateffectatlas.nl/en/heatwaves;;;;-
Hitte;Sociale kwetsbaarheid hitte;Sociale Kwetsbaarheid Hitte.gpkg;huidig;n.v.t.;RIVM;2023;;CBS buurtniveau;Categorieën broosheid & sociaal minimum;"rule based o.b.v. ""P_H_SOCMIN"" & ""P_BROOS65P""";https://www.klimaateffectatlas.nl/nl/sociale-kwetsbaarheid-hitte;https://www.klimaateffectatlas.nl/en/social-vulnerability-to-heat;;;https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/3119731f-3ada-43ec-b6eb-b96f25d1fc9f;sociale_kwetsbaarheid_hitte
Overstroming;"Overstromingsdiepte | grote kans
Overstromingsdiepte | middelgrote kans
Overstromingsdiepte | kleine kans
Overstromingsdiepte | zeer kleine kans
Overstromingsdiepte | extreem kleine kans";"maximale_waterdiepte_nederland_grote_kans_20251219
maximale_waterdiepte_nederland_middelgrote_kans_20251219
maximale_waterdiepte_nederland_kleine_kans_20251219
maximale_waterdiepte_nederland_zeer_kleine_kans_20251219
maximale_waterdiepte_nederland_extreem_kleine_kans_20251219";grote kans, middelgrote kans, kleine kans, zeer kleine kans, extreem kleine kans;KNMI'14;LIWO;2025;;5x5 meter;Categorieën o.b.v. meters;n.v.t.;"https://www.klimaateffectatlas.nl/nl/overstromingsdiepte

https://www.klimaateffectatlas.nl/nl/overstromingsrisico-en-gevolgbeperking";https://www.klimaateffectatlas.nl/en/flood-depth;https://www.klimaateffectatlas.nl/nl/overstromingsrisico-en-gevolgbeperking;https://www.klimaateffectatlas.nl/en/flood-risks-and-flood-impact-reduction;;"maximale_waterdiepte_nederland_grote_kans_20251219
maximale_waterdiepte_nederland_middelgrote_kans_20251219
maximale_waterdiepte_nederland_kleine_kans_20251219
maximale_waterdiepte_nederland_zeer_kleine_kans_20251219
maximale_waterdiepte_nederland_extreem_kleine_kans_20251219"
Overstroming;"Plaatsgebonden overstromingskans > 0 cm
Plaatsgebonden overstromingskans > 20 cm
Plaatsgebonden overstromingskans > 50 cm
Plaatsgebonden overstromingskans > 200 cm";"plaatsgebonden_overstromingskans_huidig_0_cm_20251120
plaatsgebonden_overstromingskans_huidig_20_cm_20251120
plaatsgebonden_overstromingskans_huidig_50_cm_20251120
plaatsgebonden_overstromingskans_huidig_200_cm_20251120
plaatsgebonden_overstromingskans_norm_2050_0_cm_20251120

plaatsgebonden_overstromingskans_norm_2050_20_cm_20251120
plaatsgebonden_overstromingskans_norm_2050_50_cm_20251120
plaatsgebonden_overstromingskans_norm_2050_200_cm_20251120
plaatsgebonden_overstromingskans_norm_plus_klimaatverandering_2100_0_cm_20251120
plaatsgebonden_overstromingskans_norm_plus_klimaatverandering_2100_20_cm_20251120
plaatsgebonden_overstromingskans_norm_plus_klimaatverandering_2100_50_cm_20251120
plaatsgebonden_overstromingskans_norm_plus_klimaatverandering_2100_200_cm_20251120";"huidig: 0 cm, 20 cm, 50 cm, 200 cm
Norm 2050: 0 cm, 20 cm, 50 cm, 200 cm
Norm + klimaatverandering 2100: 0 cm, 20 cm, 50 cm, 200 cm";KNMI'14;LIWO;2024;;5x5 meter;"Categorieën kans op overstroming:
1 = Extreem kleine kans: <1/30.000 per jaar
2 = Zeer kleine kans: 1/3.000 tot 1/30.000 per jaar
3 = Kleine kans: 1/300 tot 1/3.000 per jaar
4 = Middelgrote kans: 1/30 tot 1/300 per jaar
5 = Grote kans: 1/30 per jaar";n.v.t.;https://www.klimaateffectatlas.nl/nl/overstromingsrisico-en-gevolgbeperking;https://www.klimaateffectatlas.nl/en/flood-risks-and-flood-impact-reduction;https://www.klimaateffectatlas.nl/nl/kaartwijzer;https://www.klimaateffectatlas.nl/en/guide-to-flood-maps;;"plaatsgebonden_overstromingskans_huidig_0_cm_20251120
plaatsgebonden_overstromingskans_huidig_20_cm_20251120
plaatsgebonden_overstromingskans_huidig_50_cm_20251120
plaatsgebonden_overstromingskans_huidig_200_cm_20251120
plaatsgebonden_overstromingskans_norm_2050_0_cm_20251120
plaatsgebonden_overstromingskans_norm_2050_20_cm_20251120
plaatsgebonden_overstromingskans_norm_2050_50_cm_20251120
plaatsgebonden_overstromingskans_norm_2050_200_cm_20251120
plaatsgebonden_overstromingskans_norm_plus_klimaatverandering_2100_0_cm_20251120
plaatsgebonden_overstromingskans_norm_plus_klimaatverandering_2100_20_cm_20251120
plaatsgebonden_overstromingskans_norm_plus_klimaatverandering_2100_50_cm_20251120
plaatsgebonden_overstromingskans_norm_plus_klimaatverandering_2100_200_cm_20251120"
Overstroming;Percentage droge verdiepingen per buurt | Overstroming extreem kleine kans;droge_verdiepingen_extreem_kleine_kans_20251120;huidig;n.v.t.;LIWO;2025;;CBS buurtniveau;percentage droge plekken per buurt;PerDrogePlekken;https://www.klimaateffectatlas.nl/nl/overstromingsrisico-en-gevolgbeperking;https://www.klimaateffectatlas.nl/en/flood-risks-and-flood-impact-reduction;;;;droge_verdiepingen_extreem_kleine_kans_20251120
