Buurtcode,score,thema,methode,thema_kort
WK194005,0.15209109199659132,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19400501,0.15209109199659132,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194006,0.13182163489164805,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19400601,0.13182163489164805,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194007,0.1391273119921803,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19400701,0.14134746844998383,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19400702,0.13315886731032917,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194008,0.16785136044343374,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19400801,0.16785136044343374,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194009,0.11947266322629754,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19400901,0.11947266322629754,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194010,0.11724637659306061,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19401001,0.11724637659306061,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194011,0.15262451504492058,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19401101,0.12099622226891438,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19401102,0.15559174367930298,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194012,0.13803105828297263,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19401201,0.1429965701679839,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194013,0.10765719505518877,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19401301,0.10765719505518877,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194014,0.12099622226891438,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19401401,0.12099622226891438,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194015,0.11021158410281362,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19401501,0.11021158410281362,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194016,0.12820572781342748,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19401601,0.12820572781342748,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194017,0.12348623599317163,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19401701,0.12348623599317163,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194018,0.13459410604670108,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19401801,0.13459410604670108,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194019,0.23226183738391704,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19401901,0.3261352839564527,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19401902,0.13621223482339412,Woningmarkt_Eigendom,entropy,Woningmarkt
